id,lab_id,Special dougallii,Colour-ring no.,Colour-ring place (Green left or Green right tarsus),year,date,country,location,First capture (Local) or retrap (R),mass,wing,head,culmen,tarsus,sex,plumage,moult_scores,origin,colony_code,colony_name,date_ringed,hy_ad,age,reporter,colony_inferred,note,recaptured_date,recaptured_place,recaptured_reporter,note
SR07133,S06,Right : 33/S2,,,2021,4/7/2021,SN,La Somone,R,103,228,77.9,,20.1,F,ad summer ,5555555888,Ireland,ROC,Rockabill,5/7/2004,HY,17,Steve Newton,ROC,,,,,
ST04270,S07,Right : AW/70,,,2021,4/7/2021,SN,La Somone,R,127,236,79.4,,19.4,,ad summer ,5555558888,Ireland,ROC,Rockabill,13/07/2011,HY,10,Steve Newton,ROC,,,,,
CV83232,S58,,B94,GL,2021,4/8/2021,SN,La Somone,L,109,241,80.6,,19.9,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83241,S55,,B55,GL,2021,4/8/2021,SN,La Somone,L,103,238,78.9,,21.2,,ad summer ,5555555488,,,,,,,,LIL,,02/05/2021 & 19/05/2022,"Inish Island colony, Lady's Island Lake (Ireland)",David Daly & Edward Stubbings,
CV83277,S40,,A96,GL,2021,4/8/2021,SN,La Somone,L,102,242,83.5,,20.2,M,ad summer ,5555555588,,,,,,,,unknown,,,,,
CV83313,S02,Right : AB/KX,,,2021,4/8/2021,SN,La Somone,R,93,229,77.5,,20.1,F,ad summer ,5555558888,Ireland,ROC,Rockabill,5/7/2017,HY,4,Steve Newton,ROC,Safring placed (no national ring),,,,
CV83318,S26,,A24,GL,2021,4/8/2021,SN,La Somone,L,103,239,79.1,,21.5,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
SR52821,S10,Right : 21/V7,,,2021,4/8/2021,SN,La Somone,R,92,238,78.1,,19.6,M,ad summer ,5555558888,Ireland,ROC,Rockabill,2/7/2007,HY,14,Steve Newton,ROC,,,,,
ST04243,S09,Right : AW/43,,,2021,4/8/2021,SN,La Somone,R,101,234,77.1,,20.6,F,ad summer ,5555555888,Ireland,ROC,Rockabill,13/07/2011,HY,10,Steve Newton,ROC,,,,,
ST53122,S08,Right : 22/DV,,,2021,4/8/2021,SN,La Somone,R,95,239,78.1,,19.8,M,ad summer ,5555555888,Ireland,ROC,Rockabill,24/07/2015,HY,6,Steve Newton,ROC,,,,,
CV83344,S31,,A54,GL,2021,4/9/2021,SN,La Somone,L,117,239,76.6,,20.5,F,ad summer ,5555555888,,,,,,,,LIL,,19/05/2021 + June 2023,"Inish Island colony, Lady's Island Lake (Ireland)",David Daly,
CV83345,S34,,A75,GL,2021,4/9/2021,SN,La Somone,L,109,231,77.6,,20.8,F,ad summer ,5555555588,,,,,,,,unknown,,,,,
CV83352,S39,,A94,GL,2021,4/9/2021,SN,La Somone,L,119,237,76.6,,19.4,,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83370,S49,,B38,GL,2021,4/9/2021,SN,La Somone,L,126,235,80.5,,21,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83400,S03,Right : AN/VJ,,,2021,4/9/2021,SN,La Somone,R,103,235,78.8,,20.1,M,ad summer ,5555555538,Ireland,ROC,Rockabill,10/7/2018,HY,3,Steve Newton,ROC,Safring placed (no national ring),,,,
CV83401,S29,,A39,GL,2021,4/9/2021,SN,La Somone,L,127,242,81.4,,20.1,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
SR72297,S15,Right : 97/Y3,,,2021,4/9/2021,SN,La Somone,R,98,238,80.5,,21.3,M,ad summer ,5555558888,Ireland,ROC,Rockabill,28/06/2009,HY,12,Steve Newton,ROC,,,,,
SR78797,S12,Right : 59/P4,,,2021,4/9/2021,SN,La Somone,R,122,235,80.6,,19.5,M,ad summer ,5555555888,GB,COQ,Coquet Island,17/06/2011,HY,10,Steve Newton,COQ,,,,,
ST14532,S13,Right : 39/CA,,,2021,4/9/2021,SN,La Somone,R,98,235,76.7,,19.9,F,ad summer ,5555555888,GB,COQ,Coquet Island,13/07/2013,HY,8,Steve Newton,COQ,,,,,
ST52598,S11,Right : 98/DP,,,2021,4/9/2021,SN,La Somone,R,106,230,75.4,,20.5,F,ad summer ,5555558888,Ireland,ROC,Rockabill,11/7/2015,HY,6,Steve Newton,ROC,,,,,
ST54078,S14,Right : 78/DE,,,2021,4/9/2021,SN,La Somone,R,85,236,74,,20.9,F,ad summer ,5555558888,Ireland,LIL,Lady's Island Lake,13/06/2016,HY,5,Steve Newton,LIL,,,,,
ST19541,S16,Right : 41/BE,,,2021,4/10/2021,SN,La Somone,R,108,239,80.9,,20,M,ad summer ,5555558888,Ireland,ROC,Rockabill,4/7/2012,HY,9,Steve Newton,ROC,,,,,
CV83738,B45,,B45,GL,2022,3/29/2022,SN,La Somone,L,106,241,81.6,,,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83739,A55,,A55,GL,2022,3/29/2022,SN,La Somone,L,110.7,234,79.4,,,F,ad summer ,5555555488,,,,,,,,unknown,,,,,
CV83740,A45,,A45,GL,2022,3/29/2022,SN,La Somone,L,85.9,230,76.3,,,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83741,B43,,B43,GL,2022,3/29/2022,SN,La Somone,L,98.6,224,79.3,,,F,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83742,B51,,B51,GL,2022,3/29/2022,SN,La Somone,L,107.2,227,75.8,,,F,ad summer ,5555555588,,,,,,,,unknown,,,,,
CV83743,B95,,B95,GL,2022,3/30/2022,SN,La Somone,L,99.1,225,81.3,,,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83744,B12,,B12,GL,2022,3/30/2022,SN,La Somone,L,92.2,232,79,,,F,ad summer ,5555555588,,,,,,,,unknown,,,,,
CV83745,B18,,B18,GL,2022,3/31/2022,SN,La Somone,L,102.6,232,77.3,,,M,ad summer ,5555555588,,,,,,,,unknown,,,,,
CV83746,B20,,B20,GL,2022,3/31/2022,SN,La Somone,L,114.3,234,81,,,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83747,B80,,B80,GL,2022,3/31/2022,SN,La Somone,L,116.5,233,79.6,,,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
CV83748,A99,,A99,GL,2022,3/31/2022,SN,La Somone,L,107.6,235,77.1,,,F,ad summer ,5555555588,,,,,,,,unknown,,,,,
CV83749,B00,,B00,GL,2022,3/31/2022,SN,La Somone,L,109.5,225,81.4,,,M,ad summer ,5555555588,,,,,,,,unknown,,,,,
SR94850,50CY,Right: 50/CY,,,2022,3/31/2022,SN,La Somone,R,113.3,234,76,,,F,ad summer ,5555555888,Ireland,LIL,Lady's Island Lake,20/06/2015,HY,7,Steve Newton,LIL,,,,,
CV83750,A84,,A84,GL,2022,4/1/2022,SN,La Somone,L,93,222,75.7,,,F,ad summer ,5555553888,,,,,,,,unknown,,,,,
BJ26082,B02,,B02 ,GL,2022,4/2/2022,SN,La Somone,R,98.1,225,79.6,,20.7,M,ad summer ,5555555888,Senegal,,La Somone,2/4/2019,AD,,SAFRING,unknown,,,,,
CV83751,B01,,B01,GL,2022,4/2/2022,SN,La Somone,L,112.6,232,80.7,,20.6,M,ad summer ,5555555888,,,,,,,,unknown,,,,,
